B029-G090   0 41 17.82 41 00 23.0 0.27  -500.0  7 5.7 -0.3 0.1 13.4
B030-G091   0 41 18.74 40 57 15.6 0.65  -390.9  6 5.9 -0.3 0.1 14.  x
B031-G092   0 41 20.93 40 59 04.2 0.31  -310.8  8 5.3 -0.5 0.1 11.5
B032-G093   0 41 21.51 41 17 30.2 0.51  -526.3  7 5.6 -0.7 0.1 12.3
B033-G095   0 41 26.40 41 00 14.0 0.30  -466.5 16 5.3 -1.6 0.3 14.  x
B034-G096   0 41 28.12 40 53 49.6 0.16  -556.5 10 6.0 -0.6 0.1 14.  x
B457-G097   0 41 29.23 42 18 37.1 0.13  -330.0 18 5.4 -1.1 0.2 14.  x
B035        0 41 32.58 41 38 32.7 0.21   -45.7  5 5.3 -0.8 0.1 11.7
B036        0 41 32.83 41 26 05.1 0.25  -506.2  6 5.4 -0.8 0.1 14.  x
B037-V327   0 41 34.98 41 14 55.1 1.61  -322.8 11 7.2 -0.8 0.1 14.  x
B038-G098   0 41 35.95 41 19 14.8 0.40  -183.4  9 5.9 -1.7 0.1 14.  x
B039-G101   0 41 37.87 41 20 50.1 0.60  -246.6  6 6.3 -0.8 0.1  9.0
B042-G104   0 41 41.69 41 07 26.2 0.88  -293.8 12 6.6 -0.9 0.1  6.7
B044-G107   0 41 42.91 41 20 06.2 0.47  -267.6  6 5.8 -0.8 0.1 13.3
B343-G105   0 41 43.10 40 12 22.4 0.15  -356.0 14 5.7 -1.6 0.2 14.  x
B045-G108   0 41 43.11 41 34 20.3 0.18  -419.4  6 5.9 -0.9 0.1 14.  x
B046-G109   0 41 44.60 41 46 27.7 0.18  -351.3  7 5.1 -1.1 0.1 14.  x
B048-G110   0 41 45.53 41 13 30.6 0.36  -234.6 10 5.8 -0.8 0.1 14.  x
B047-G111   0 41 45.56 41 42 04.1 0.16  -294.8  9 5.2 -1.6 0.2 14.  x
B050-G113   0 41 46.28 41 32 18.7 0.25  -109.5  6 5.6 -0.8 0.1 13.5
B051-G114   0 41 46.70 41 25 19.1 0.38  -261.2  6 6.0 -0.8 0.1 14.  x
B054-G115   0 41 47.68 41 00 55.3 0.17  -397.2  8 5.0 -0.2 0.1 10.6
B055-G116   0 41 50.39 41 12 12.4 0.54  -304.9  8 6.0 -0.1 0.1 14.  x
